"SampleID"	"Range"	"Haplogroup"	"Rank"	"Quality"
"HG00096"	"1-16569"	"H16a1"	"1"	"0.9539"
"HG00097"	"1-16569"	"T2f1a1"	"1"	"0.9911"
"HG00099"	"1-16569"	"H1ae"	"1"	"0.9662"
"HG00100"	"1-16569"	"X2b8"	"1"	"0.9812"
"HG00101"	"1-16569"	"J1c3g"	"1"	"0.9672"
"HG00102"	"1-16569"	"H58a"	"1"	"0.9487"
"HG00103"	"1-16569"	"J1c3b2"	"1"	"0.9567"
"HG00105"	"1-16569"	"H1m"	"1"	"0.9253"
"HG00106"	"1-16569"	"J2b1a"	"1"	"0.9828"
"HG00107"	"1-16569"	"J1c3b1a"	"1"	"0.9875"
"HG00108"	"1-16569"	"X2b+226+16192"	"1"	"1.0000"
"HG00109"	"1-16569"	"U4a2"	"1"	"0.9850"
"HG00110"	"1-16569"	"H1e1a"	"1"	"1.0000"
"HG00111"	"1-16569"	"H1e2"	"1"	"1.0000"
"HG00112"	"1-16569"	"H5b2"	"1"	"1.0000"
"HG00113"	"1-16569"	"X2b8"	"1"	"0.9812"
"HG00114"	"1-16569"	"U5b2c2b"	"1"	"0.9814"
"HG00115"	"1-16569"	"T2b23a"	"1"	"0.9784"
"HG00116"	"1-16569"	"U5b2c2b"	"1"	"0.9814"
"HG00117"	"1-16569"	"J1c2e1"	"1"	"0.9602"
"HG00118"	"1-16569"	"H3a1a"	"1"	"1.0000"
"HG00119"	"1-16569"	"T1a1"	"1"	"0.9651"
"HG00120"	"1-16569"	"J1c5"	"1"	"1.0000"
"HG00121"	"1-16569"	"K1a4g"	"1"	"0.9676"
"HG00122"	"1-16569"	"U5b2c2b"	"1"	"0.9686"
"HG00123"	"1-16569"	"H2a2b5a"	"1"	"0.8743"
"HG00124"	"1-16569"	"I2c"	"1"	"0.9678"
"HG00125"	"1-16569"	"H1e2"	"1"	"0.9497"
"HG00126"	"1-16569"	"H23"	"1"	"0.8786"
"HG00127"	"1-16569"	"H2a2a1f"	"1"	"0.6786"
"HG00128"	"1-16569"	"K2b1a3"	"1"	"0.9584"
"HG00129"	"1-16569"	"H3k1a"	"1"	"1.0000"
"HG00130"	"1-16569"	"X2b4"	"1"	"0.9631"
"HG00131"	"1-16569"	"H2a2a2"	"1"	"0.7311"
"HG00132"	"1-16569"	"U5a2a1d"	"1"	"0.9820"
"HG00133"	"1-16569"	"H26a1a1"	"1"	"0.9027"
"HG00136"	"1-16569"	"T2b"	"1"	"0.9902"
"HG00137"	"1-16569"	"H3"	"1"	"0.8833"
"HG00138"	"1-16569"	"H1b1+16362"	"1"	"0.9568"
"HG00139"	"1-16569"	"H4a1a4b"	"1"	"1.0000"
"HG00140"	"1-16569"	"H4a1a4b"	"1"	"0.9661"
"HG00141"	"1-16569"	"T2b19b"	"1"	"0.9773"
"HG00142"	"1-16569"	"U5a1b"	"1"	"0.9742"
"HG00143"	"1-16569"	"H20c"	"1"	"0.8838"
"HG00145"	"1-16569"	"U5a1a1g"	"1"	"0.9588"
"HG00146"	"1-16569"	"U5a2a1"	"1"	"1.0000"
"HG00148"	"1-16569"	"W5a2"	"1"	"1.0000"
